companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 櫻花,9911,,12.57,8.22,4.21,12.28,7.81,4.32,2.73,13.35,9.07,5.79,2.66,12.83,7.38,4.65,2.33,7.69,4.9,3.17
 偉聯,9912,,-1.5,-1.51,-1.54,-8.99,-7.62,-6.01,-3.69,0.09,-1.63,0.63,0.57,-2.18,-3.26,-3.3,-0.72,94.7,0.16,0.2
 美利達,9914,,10.87,7.1,3.45,23.48,18.95,10.96,5.62,29.29,22.33,13.95,6.73,30.36,24.57,16.32,7.53,28.77,20.17,11.85
 中保,9917,,13.18,9.06,4.22,18.98,14.75,9.88,4.66,19.3,15.23,10.08,4.68,19.52,14.92,9.87,4.67,18.78,14.62,9.62
 欣天然,9918,,6,5.27,2.8,8.67,7.25,6.85,3.65,6.44,5.85,6.43,3.55,7.56,6.46,6.19,3.11,10.81,7.74,6.19
 康那香,9919,,0.23,0.16,-0.45,-0.38,-0.51,-0.17,-0.24,-0.14,-0.32,-0.23,0.05,-0.54,-0.62,0.16,0.67,0.91,1.74,0.8
 巨大,9921,,11.98,8.51,4.11,19.32,15.21,9.53,4.84,22.13,17.14,11.12,5.87,20.82,16.42,11,5.48,19.28,15.18,9.7
 福興,9924,,12.61,8.52,3.52,16.63,12.96,7.51,3.55,11.55,8.75,4.53,1.23,13.89,11.93,3.47,1.56,9.74,7.46,4.25
 新保,9925,,8.79,5.86,2.45,11.84,9.77,6.07,2.49,11.57,10.08,5.91,3.06,12.34,10.13,6.85,2.51,15.34,12.54,8.56
 新海,9926,,9,5.87,3.04,12,9.59,6.43,3.25,10.35,8.5,6.25,2.94,8.58,6.01,3.96,1.43,12.61,9.53,6.93
 泰銘,9927,,11.09,6.64,2.91,10.88,7.44,5.5,1.73,16.77,13.09,7.49,4.01,17.27,13.33,8.92,6.35,14.37,7.23,4.72
 中視,9928,,-29.63,-18.27,-8.67,-34.39,-31.91,-24.88,-14.61,-20.75,-15.23,-9.39,-6.12,-12.29,-11.51,-8.87,-5.23,-6.74,-3.15,-1.28
 秋雨,9929,,27.35,27.52,-1.87,-40.55,-9.89,-0.37,-0.11,-25.29,-20.94,-10.46,-1.2,-24.71,-22.11,-16.63,-14.49,-7.87,-5.34,-3.62
 中聯資源,9930,,10.65,7.84,3.27,20.08,15.15,10.49,5.1,23.48,17.2,11.36,4.86,21.37,15.43,10,3.88,16.67,13.3,9.4
 欣高,9931,,8.9,8.01,5.5,9.76,7.46,6.88,2.42,10.37,7.47,6.62,2.33,15.7,14.62,13.21,6.87,14.2,8.3,6.92
