CompanyName,Q32016,Q22016,Q12016,Q42015,Q32015,Q22015,Q12015,Q42014,Q32014,Q22014,Q12014,Q42013,Q32013,Q22013,Q12013,Q42012,Q32012,Q22012,Q12012
2365 昆盈,3923243 ,4020389 ,4176873 ,4289409 ,4298284 ,4349670 ,4501803 ,4458718 ,4444316 ,4389451 ,4529798 ,4438976 ,4423315 ,4411894 ,4458476 ,4323965 ,4446461 ,4390780 ,4448695 
2367 燿華,8128090 ,8414050 ,9490219 ,9809476 ,9719762 ,9489767 ,10006996 ,9901463 ,9531260 ,9291780 ,9486130 ,9508412 ,9490688 ,9451302 ,9269066 ,9369804 ,9814623 ,10021051 ,10497028 
2368 金像電,7023625 ,6954874 ,7008011 ,7203147 ,7329861 ,7381054 ,7486659 ,7238223 ,6734284 ,6335458 ,6294496 ,6202495 ,6432006 ,6496030 ,6605199 ,6959031 ,7522309 ,8280508 ,8626260 
2369 菱生,6285608 ,6115719 ,6228495 ,6231542 ,6220148 ,6273756 ,6600875 ,6595228 ,6506375 ,6391489 ,6599532 ,6535117 ,6421398 ,6353817 ,6486683 ,6587303 ,6520007 ,6423020 ,6495822 
2371 大同,89073575 ,44661601 ,45825969 ,48911859 ,51477554 ,56499109 ,59248897 ,61870524 ,64840370 ,65638997 ,64260969 ,62249720 ,61529827 ,62144462 ,60772572 ,59753450 ,62619254 ,67226587 ,71925863 
2373 震旦行,7611938 ,7449393 ,8572588 ,8192399 ,8111610 ,7572341 ,8407551 ,8097222 ,7695373 ,6775068 ,7744869 ,7636740 ,6890817 ,6405066 ,7125352 ,6823214 ,6593872 ,6223827 ,7126317 
2374 佳能,8415632 ,8404016 ,8678352 ,8734723 ,8713237 ,10190169 ,10121945 ,9860323 ,9941449 ,8878324 ,9747478 ,9780557 ,9573550 ,9510216 ,10272940 ,10248255 ,10096901 ,9844236 ,10295839 
2375 智寶,2805692 ,2467038 ,1546040 ,1686129 ,1663365 ,1884276 ,1986716 ,1996695 ,1916033 ,2263488 ,2303287 ,2242582 ,1756408 ,1740871 ,1644013 ,1574279 ,1587657 ,1639204 ,1673198 
2376 技嘉,22464353 ,21827668 ,23059372 ,22553419 ,22502263 ,21471952 ,22924698 ,22578114 ,21851198 ,21063730 ,22531364 ,21849702 ,21218570 ,20388196 ,21102148 ,20595258 ,20406156 ,19754765 ,20644231 
2377 微星,25932778 ,24571529 ,26763688 ,25742017 ,24848900 ,23263303 ,25337573 ,24532536 ,23746969 ,22891089 ,23944013 ,22937586 ,22275576 ,21726436 ,22105263 ,21587235 ,21529276 ,21392931 ,22518722 
2379 瑞昱,21520600 ,21368676 ,22442244 ,22289881 ,21587184 ,19717318 ,22604697 ,22106156 ,20700084 ,18923060 ,20661294 ,19523759 ,18658678 ,18068071 ,18714974 ,18133108 ,17714117 ,17235742 ,17667003 
2380 虹光,2923376 ,2999514 ,3105591 ,3243926 ,3387729 ,3373869 ,3473750 ,3539409 ,3491609 ,3491977 ,3560971 ,3572787 ,3521795 ,3570195 ,3620401 ,3740690 ,3810397 ,3855285 ,3993075 
2382 廣達,134869380 ,131662200 ,142949174 ,140085684 ,135508455 ,129148067 ,143174484 ,140080096 ,131804005 ,126345293 ,137076742 ,131086830 ,125634459 ,121092482 ,133595657 ,131226457 ,125163961 ,119486002 ,129330068 
2383 台光電,9866932 ,9277262 ,10220285 ,9691780 ,9335782 ,8272034 ,8666386 ,8175409 ,7397262 ,6792112 ,7145995 ,6907498 ,6614789 ,6385540 ,6663444 ,6308600 ,6044747 ,5610685 ,5870554 
2385 群光,26406629 ,24262936 ,26404667 ,26204517 ,24529061 ,22276048 ,26089317 ,25826642 ,23797964 ,22235748 ,24823428 ,24303309 ,21545951 ,20416159 ,21004913 ,18892736 ,18166822 ,16959951 ,18860847 
2387 精元,8211903 ,8867496 ,9104770 ,9009890 ,9390640 ,8718477 ,8880029 ,8909595 ,8341247 ,7950830 ,7978456 ,7919173 ,7732949 ,7841823 ,7803891 ,7469362 ,7383634 ,7615615 ,7763824 
2388 威盛,3851189 ,3951248 ,2689325 ,2702435 ,4510882 ,2591893 ,1458812 ,1846614 ,2519802 ,2891277 ,3023311 ,3410192 ,3474908 ,3659877 ,3440663 ,4655857 ,5702485 ,6915307 ,8650577 
2390 云辰,2569251 ,2635474 ,2709911 ,2658812 ,2593747 ,2495903 ,2486036 ,2477228 ,2490675 ,2558827 ,2656519 ,2598370 ,2497857 ,2552991 ,2518685 ,2482174 ,2377234 ,2400738 ,2416139 
2392 正崴,26535044 ,26990952 ,28777047 ,29441721 ,29850422 ,28028036 ,29409094 ,29104394 ,27985401 ,26826566 ,28331445 ,27747789 ,26531405 ,25581784 ,26220894 ,25703863 ,23522133 ,23023324 ,23725591 
2393 億光,17529486 ,17220025 ,18309742 ,18026998 ,17741310 ,17126326 ,18428919 ,18080167 ,17061063 ,16576348 ,16960508 ,16831025 ,15596063 ,15400041 ,15408966 ,14936467 ,15018508 ,15249545 ,16286343 
2395 研華,23957306 ,22435061 ,24924455 ,23453777 ,22300967 ,20940733 ,23439438 ,22533019 ,20602620 ,19360027 ,21019645 ,19420190 ,18006973 ,16998466 ,19033691 ,17810240 ,16774972 ,15338117 ,16970329 
2397 友通,3120517 ,3014682 ,3188487 ,3025903 ,2964979 ,2815382 ,3027818 ,2903567 ,2859146 ,2788163 ,2925984 ,2842422 ,2791355 ,2726926 ,2832598 ,2796542 ,2758520 ,2702590 ,2822545 
2399 映泰,2293527 ,2341440 ,2310037 ,2333857 ,2387490 ,2368232 ,2425337 ,2432249 ,2579252 ,2560680 ,2659783 ,2590789 ,2549826 ,2546759 ,2619152 ,2570154 ,2571071 ,2562303 ,2773923 
2401 凌陽,10629644 ,10320354 ,11091829 ,11225240 ,10723900 ,10942232 ,11442922 ,10922706 ,10719651 ,10526026 ,10592700 ,10365512 ,10320159 ,10315057 ,10120805 ,11227599 ,10886363 ,10674105 ,10721774 
2402 毅嘉,6326467 ,6500899 ,6666023 ,6960401 ,7229650 ,7049240 ,7853890 ,7962137 ,7449032 ,6881533 ,6865078 ,6579966 ,6387318 ,6366708 ,6317020 ,6163846 ,6093877 ,6155656 ,6148618 
2404 漢唐,6227021 ,5844140 ,6546477 ,6222830 ,6059410 ,5578337 ,5774585 ,5552229 ,5433685 ,5277665 ,5519502 ,5300190 ,5107642 ,4738468 ,4825516 ,4662897 ,4534757 ,4449773 ,5004134 
2405 浩鑫,3633532 ,3678562 ,3691600 ,3832141 ,3824524 ,3682719 ,3811240 ,3963734 ,3864285 ,3985042 ,4331798 ,4257190 ,4125404 ,3930438 ,3918897 ,3832323 ,3806957 ,3669289 ,3606712 
2406 國碩,10339970 ,10282824 ,10548160 ,9410659 ,7985801 ,7361416 ,7771351 ,7734746 ,7585030 ,7331980 ,7263754 ,6241308 ,5971399 ,6088874 ,6103412 ,6133778 ,6449664 ,6628233 ,6912532 
2408 南亞科,62138019 ,60646710 ,68356641 ,54854375 ,52495599 ,47740937 ,48371653 ,41677058 ,32294207 ,24381034 ,16049130 ,10005137 ,5994650 ,4009583 ,2483163 ,2320911 ,2211862 ,5812476 ,12525387 
2409 友達,192309270 ,191309665 ,197357530 ,204636405 ,214106501 ,203059725 ,204844927 ,200369924 ,188765762 ,180457598 ,179013380 ,178345869 ,176478377 ,174590276 ,159980910 ,163235482 ,176169819 ,196101621 ,206836319 
2412 中華電,364284265 ,354557340 ,386991963 ,374009003 ,364391148 ,353033334 ,380560801 ,369539335 ,360362261 ,350309585 ,375546257 ,365344154 ,356057808 ,345288968 ,376935855 ,369910214 ,361751093 ,351729228 ,383030709 
2413 環科,2000046 ,1984207 ,2068107 ,2036118 ,2024208 ,1983126 ,1984061 ,1963144 ,1922273 ,1828391 ,1927457 ,1800196 ,1779746 ,1778774 ,1737752 ,1748186 ,1742877 ,1832787 ,1947864 
2414 精技,2967492 ,2900350 ,3056651 ,2989850 ,2926562 ,2851585 ,3023871 ,2957286 ,2897551 ,2816466 ,2927977 ,2854633 ,2793000 ,2748070 ,2903921 ,2937609 ,2866413 ,2816557 ,2997589 
2415 錩新,1875163 ,1842648 ,1743604 ,1752000 ,1755629 ,1633365 ,1741088 ,1776135 ,1692665 ,1613888 ,1682782 ,1632781 ,1521398 ,1527259 ,1554387 ,1504506 ,1370534 ,1400016 ,1428756 
2417 圓剛,4165501 ,4169561 ,4267955 ,4326703 ,4402948 ,4482101 ,4669476 ,4772286 ,4819274 ,4843098 ,4891136 ,3545692 ,3644593 ,3664380 ,3800463 ,3838491 ,3872625 ,3882562 ,4301076 
2419 仲琦,3693986 ,3455395 ,3600889 ,3475272 ,3365206 ,3367069 ,3514280 ,3481512 ,3452919 ,3380017 ,3436456 ,3025324 ,3018952 ,3000878 ,3126156 ,3040831 ,2740196 ,2425831 ,2438820 
2420 新巨,2817911 ,2717483 ,2979038 ,2853731 ,2681201 ,2451225 ,2871418 ,2728722 ,2534264 ,2369462 ,2701349 ,2564238 ,2403555 ,2291131 ,2494648 ,2390218 ,2309541 ,2192827 ,2425762 
2421 建準,3886849 ,3791664 ,4086180 ,4007234 ,3908817 ,3692026 ,3944117 ,3959629 ,3783549 ,3633390 ,3806151 ,3710762 ,3584738 ,3493020 ,3626557 ,3555011 ,3555503 ,3546621 ,3947774 
2423 固緯,2117346 ,2091913 ,2149796 ,2095497 ,2018236 ,1972883 ,2012209 ,1973829 ,1946865 ,1888817 ,1898626 ,1858095 ,1820302 ,1747215 ,1728254 ,1738888 ,1731823 ,1714084 ,1749196 
2424 隴華,460385 ,480489 ,490826 ,504966 ,524151 ,505878 ,519308 ,529951 ,524390 ,518386 ,518972 ,532934 ,347137 ,346485 ,315512 ,317590 ,319802 ,324179 ,344606 
2425 承啟,1755044 ,1757510 ,1786361 ,1773959 ,1738409 ,1600346 ,1640372 ,1637421 ,1553077 ,1478401 ,1488134 ,1387438 ,1281320 ,1201895 ,1153745 ,1065357 ,1020177 ,1013878 ,980179 
2426 鼎元,3386480 ,3387266 ,3664684 ,3612727 ,3429238 ,3305267 ,3465660 ,2916572 ,2799135 ,2695149 ,2619562 ,2531202 ,3088028 ,3120558 ,3221109 ,3371222 ,3627399 ,3782711 ,4165641 
2427 三商電,2110995 ,2092650 ,2105043 ,2093077 ,2054642 ,2037940 ,2089994 ,2101038 ,2103893 ,2100084 ,2082238 ,2078042 ,2059830 ,2090279 ,2084019 ,2055496 ,2038778 ,2069722 ,2145672 
2428 興勤,4840436 ,4637932 ,4831065 ,4737821 ,4657061 ,4306384 ,4456071 ,4356751 ,4055349 ,3830534 ,4018697 ,3850115 ,3645273 ,3530843 ,3620051 ,3531093 ,3444461 ,3360840 ,3426945 
2429 銘旺科,382121 ,381288 ,365725 ,343375 ,396834 ,413321 ,416845 ,429071 ,462141 ,485025 ,501213 ,528446 ,554150 ,281314 ,300018 ,300439 ,322010 ,336113 ,204875 
2430 燦坤,4698198 ,4578256 ,4650248 ,4540356 ,4529801 ,4355784 ,4407530 ,4503201 ,4784413 ,4704385 ,5031808 ,4840358 ,4776439 ,4328371 ,4600202 ,4688710 ,4561160 ,4400552 ,5025578 
2431 聯昌,1641278 ,1645180 ,1666916 ,1656300 ,1690395 ,1642637 ,1699937 ,1674490 ,1655684 ,1579911 ,1546243 ,1529546 ,1480518 ,1447466 ,1409856 ,1408590 ,1422968 ,1454083 ,1508712 
2433 互盛電,3835332 ,3729743 ,4357906 ,4044070 ,3985080 ,3778157 ,4264200 ,3907924 ,3649364 ,3597227 ,4130985 ,4259215 ,4093061 ,3723073 ,3893100 ,3328729 ,3380711 ,3114029 ,4112715 
2434 統懋,695927 ,738910 ,792329 ,848252 ,867639 ,1039388 ,1090063 ,1137501 ,1049605 ,1106718 ,1192887 ,871347 ,979141 ,1001879 ,1019375 ,993356 ,1014340 ,1095047 ,1141092 
2436 偉詮電,2871323 ,2726682 ,2809524 ,2785915 ,2587446 ,2719149 ,3041828 ,3004694 ,2960856 ,3001169 ,2859706 ,2644475 ,2544581 ,2452956 ,2749099 ,2737557 ,2742589 ,2649119 ,2706346 
2437 旺詮,3224786 ,3241292 ,3471931 ,3379926 ,3402590 ,3175364 ,3333902 ,2923826 ,2769979 ,2625819 ,2780830 ,2720615 ,2597533 ,2542117 ,2526170 ,2411582 ,2362529 ,2376506 ,2418613 
2438 翔耀,889738 ,879636 ,634835 ,688471 ,677046 ,648982 ,637277 ,655498 ,656841 ,635775 ,192311 ,200338 ,187662 ,186755 ,194694 ,216062 ,332801 ,351854 ,377724 
2439 美律,6273250 ,5500248 ,5794479 ,5810104 ,5653115 ,5305986 ,6229145 ,6099379 ,5703880 ,5222797 ,5632146 ,5354987 ,4861786 ,4578781 ,4772475 ,4502964 ,4317239 ,4385235 ,4467000 
2440 太空梭,1128330 ,1126724 ,1131234 ,1149717 ,1149439 ,1163100 ,1137815 ,1191132 ,1127302 ,1122830 ,1149779 ,1169571 ,1185773 ,1209847 ,1264124 ,1228376 ,1314684 ,1357596 ,1395580 
2441 超豐,14031669 ,13449946 ,14283878 ,13752846 ,13298019 ,12799057 ,13890867 ,13393594 ,12883918 ,12272188 ,12793505 ,12275895 ,11464214 ,11034535 ,11515708 ,11351982 ,11113454 ,10754647 ,10936197 
