company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
智擎,4162,"73,195","164,685","-42,995","394,022","425,691","390,947","-32,407","123,592","155,983","-37,453","-9,113","-117,848","-97,031","-27,320","-10,616","48,987","61,788","127,469","135,322"
鐿鈦,4163,"267,965","201,167","75,644","294,034","209,060","104,018","66,399","316,473","248,165","149,685","67,339","243,424","193,354","128,360","59,530","175,489","155,340","66,101","22,492"
承業醫,4164,"36,229","21,454","9,128","222,687","120,500","48,984","-56,221","263,793","157,043","120,628","35,903","291,671","209,630","90,690","4,090","430,394","274,332","149,149",
展旺,4167,"-227,327","-178,444","-117,359","-493,793","-331,914","-215,601","-117,616","-355,790","-263,851","-128,444","-72,694","-228,703","-149,410","-111,818",,"-452,834",,"-239,267",
醣聯,4168,"-63,137","-40,722","-14,138","-77,096","-53,039","-32,805","-16,743","-41,354","-34,563","-24,842","-11,469","-21,436","-33,923","-22,802","-9,345","11,351","-26,293","-15,755",
瑞基,4171,"-17,905","-8,444","-6,682","-24,824","-14,876","-20,837","-13,875","-30,433","-23,453","-20,098","-13,461","-58,002","-41,021","-29,380","-16,821","-23,358",,"-11,294",
久裕,4173,"18,649","15,646","5,178","25,041","18,398","15,221","5,009","35,050","29,367","18,992","7,904","57,007","39,452","25,927","11,138","50,105",,"23,127",
浩鼎,4174,"-832,596","-465,174","-348,081","-941,337","-680,971","-546,531","-373,349","-667,007","-480,369","-328,716","-115,692","-438,584","-301,800","-202,465",,"-255,275",,"-101,027",
杏一,4175,"75,732","53,574","27,996","121,193","91,057","61,761","34,082","96,927","66,637","43,847","25,615","103,308","79,348","52,350","28,875","35,122",,"9,930",
安成藥,4180,"-669,415","-418,771","-238,028","-434,894","-331,433","-252,111","-288,466","-906,884","-559,578","-438,029","-161,745","-502,231","-319,505","-325,766","-159,364","-567,430",,"-221,775",
安克,4188,"-42,126","-30,265","-15,306","-61,660","-45,743","-31,437","-19,221","-43,142","-29,655","-16,139","-7,455","-19,452","-8,935","-3,897",,"-13,761",,"-5,495",
佐登-KY,4190,"188,272","120,154","58,241","341,908","256,104","167,452","69,853","272,317","195,665","113,163","47,605","267,204","276,082",,,"171,587",,,
杏國,4192,"-166,614","-111,328","-48,802","-182,156","-164,126","-92,850","-52,209","-231,199","-172,093","-101,009","-39,122","-106,229",,,,"-72,668",,,
環瑞醫,4198,"-394,861","-260,135","-139,639","-582,243","-437,129","-322,165","-190,832","-531,721","-399,083","-243,370","-98,963","-344,606",,"-51,319",,"-241,093",,,
中華食,4205,"167,073","103,933","49,889","182,342","135,810","78,063","34,654","138,277","104,107","62,042","31,711","135,224","101,715","68,501","29,134","146,621","116,152","79,605","40,873"
環泰,4207,"102,129","45,622","5,238","27,001","14,776","16,768","-2,765","85,452","111,506","72,426","32,580","287,187","263,824","133,001","79,889","260,298","215,579","125,590","113,950"
信立,4303,"13,679","7,560","5,201","55,127","47,191","21,490","2,654","69,486","57,590","35,169","12,193","33,352","21,725","10,685","-1,474","-7,526",164,"-4,696","-3,073"
勝昱,4304,"-26,467","-8,845","4,817","-81,948","-46,349","-26,660","-11,956","-122,090","-98,477","-75,606","-41,494","-105,731","-75,950","-59,355","-31,969","-34,347","-43,767","-16,666","-11,981"
世坤,4305,"108,468","85,917","34,501","162,816","115,519","68,903","26,388","128,905","91,591","64,047","33,669","140,474","109,073","78,559","36,162","132,847","103,205","69,262","34,566"
炎洲,4306,"-56,540","61,491","112,862","459,792","440,165","290,756","-95,846","408,302","486,181","192,049","116,722","986,170","913,243","731,544","362,962","564,457","463,411","393,402","285,792"
東隆興,4401,"414,140","270,346","128,652","563,910","431,777","291,813","110,983","455,466","367,777","241,367","117,142","652,193","466,166","298,803","135,207","300,472","217,462","121,448","61,859"
福大,4402,"49,579","-56,443","-30,429","-214,395","-148,699","-89,753","-40,066","-155,238","-94,586","-55,931","-28,434","-159,835","-114,014","-71,651","-28,880","-140,322","-105,047","-57,080","-16,516"
